Specimen ID,T type,MET type,Axon Bias X (millimeters),Axon Bias Y (millimeters),Axon Contraction,Axon Emd With Basal Dendrite,Axon Extent X (millimeters),Axon Extent Y (millimeters),Axon Hist Pc 0,Axon Hist Pc 1,Axon Hist Pc 2,Axon Hist Pc 3,Axon Hist Pc 4,Axon Max Branch Order,Axon Max Euclidean Distance (millimeters),Axon Max Path Distance (millimeters),Axon Num Branches,Axon Pct Above Basal Dendrite,Axon Pct Below Basal Dendrite,Axon Pct Intersect Basal Dendrite,Axon Soma Distance (millimeters),Axon Soma Percentile X,Axon Soma Percentile Y,Axon Soma Theta,Axon Total Length (millimeters),Basal Dendrite Bias X (millimeters),Basal Dendrite Bias Y (millimeters),Basal Dendrite Contraction,Basal Dendrite Extent X (millimeters),Basal Dendrite Extent Y (millimeters),Basal Dendrite Max Branch Order,Basal Dendrite Max Euclidean Distance (millimeters),Basal Dendrite Max Path Distance (millimeters),Basal Dendrite Num Branches,Basal Dendrite Num Stems,Basal Dendrite Pct Above Axon,Basal Dendrite Pct Below Axon,Basal Dendrite Pct Intersect Axon,Basal Dendrite Soma Percentile X,Basal Dendrite Soma Percentile Y,Basal Dendrite Stem Exit Down,Basal Dendrite Stem Exit Side Less,Basal Dendrite Stem Exit Side More,Basal Dendrite Stem Exit Up,Basal Dendrite Total Length (millimeters),Normalized Soma Depth
714755043,Sncg Vip Nptx2,Sncg-MET-1,0.07608726951,0.02159396773,0.8289492340000001,14.59690922,0.4605211669,0.258803507,-704.7399319,-18.76169481,319.5698273,74.10294787,-301.46208010000004,17.0,0.2864344075,0.8175429826999999,133.0,0.0,0.0,1.0,0.0,0.311671655,0.825352715,0.604660275,6.699591121,0.09611137289999999,0.014365238909999998,0.834289376,0.2838773689,0.3591120737,5.0,0.2178236955,0.3008299428,39.0,3.0,0.135830073,0.025153717000000003,0.83901621,0.275013974,0.419787591,0.0,0.0,0.333333333,0.666666667,2.522125769,0.7232335209999999
658012080,Sst Crhr2 Efemp1,Sst-MET-12,0.1353558706,0.1111872974,0.855302369,10.75365595,0.6907280795999999,0.4540903021,-1254.649974,-187.93672809999998,910.0701792000001,506.01514519999995,243.1272108,22.0,0.41900618759999997,0.7601210957,305.0,0.11957163300000001,0.0,0.880428367,0.0,0.437810945,0.306096635,0.094073959,16.75815925,0.05270464657,0.1228330659,0.879780597,0.2995380069,0.3574866228,5.0,0.2612738243,0.3389127822,47.0,5.0,0.0,0.036472946,0.963527054,0.37354709399999997,0.580761523,0.4,0.0,0.4,0.2,3.65687653,0.8251918020000001
663193112,Pvalb Gpr149 Islr,Pvalb-MET-3,0.1417512105,0.2918219004,0.8811666640000001,14.24478411,0.6566409007999999,0.39014305850000003,-345.34035760000006,-20.56813118,-692.1784978,-499.41933889999996,-63.70014024,14.0,0.4014639635,0.6549297295000001,213.0,0.37566393,0.0,0.62433607,0.0,0.304683728,0.017061001,0.363642852,9.268986956,0.07526380067,0.07782769493,0.875784784,0.3082468999,0.17844602910000001,4.0,0.25396552559999996,0.3128359028,34.0,6.0,0.0,0.0006035,0.9993965,0.243210622,0.18044659,0.166666667,0.333333333,0.333333333,0.166666667,2.4543567619999997,0.644408491
827447865,Lamp5 Plch2 Dock5,Lamp5-MET-1,0.06671187833,0.10676379789999998,0.798974045,11.19560999,0.42480000149999997,0.5866752094,786.188159,-735.1068366000001,-962.950372,977.8098456,84.19736677,22.0,0.37194407170000005,0.7842890009000001,527.0,0.141938277,0.14218566400000002,0.7158760590000001,0.0,0.48407446299999995,0.685138227,0.49245249799999996,27.33824574,0.06507372836,0.03277652524,0.818800744,0.17475775559999998,0.1689368154,6.0,0.18292520899999998,0.2551255522,59.0,5.0,0.0,0.0,1.0,0.36485623,0.50798722,0.2,0.0,0.2,0.6,2.5220224890000003,0.32137831899999997
808875776,Sst Hpse Sema3c,Sst-MET-7,0.1061509168,0.2001655913,0.841442292,13.43646893,0.34088926729999997,0.5938042059,-305.6075383,-30.01169181,-891.5742506000001,-521.3295475,206.61054009999998,32.0,0.4463403986,0.8390859045,387.0,0.060727841,0.0,0.939272159,0.1419137458,0.374637196,0.222929225,0.115261192,11.55941699,0.04728709523,0.05268883379,0.87398884,0.2118207247,0.4478311604,6.0,0.2617401905,0.3087814097,39.0,5.0,0.0,0.034575905,0.965424095,0.28363047,0.588330632,0.4,0.0,0.0,0.6,2.391990477,0.553257928
661422439,Vip Ptprt Pkp2,Vip-MET-2,0.03331725543,0.305115165,0.818695726,39.29844383,0.3450481432,0.3760405783,-484.387414,24.20341531,-285.76739399999997,-496.21890769999993,-77.84317433,19.0,0.4024197636,0.6260899679999999,177.0,0.0,0.198874702,0.801125298,0.036304503689999996,0.46158840100000004,0.980307293,0.17566354399999998,6.80471019,0.08685959756000002,0.1867426326,0.895081426,0.1977389279,0.6002725415,8.0,0.4147969069,0.4900799357,75.0,3.0,0.410633088,0.0,0.589366912,0.437565582,0.580622595,0.333333333,0.0,0.333333333,0.333333333,3.8912310530000003,0.422880617
823702943,Pvalb Vipr2,Pvalb-MET-5,0.044771935980000004,0.1931268672,0.792785194,11.48279601,0.358180011,0.2959182775,1238.455463,-468.78709910000003,969.5874182,-665.6785423,-184.7207896,20.0,0.2470103105,0.5574877315,359.0,0.0,0.190539032,0.809460968,0.01628394184,0.42178459,0.934016851,0.651510968,13.50452119,0.0127115767,0.006769791786,0.8510817509999999,0.17749915019999998,0.2010122366,6.0,0.1651566447,0.3011647276,63.0,7.0,0.181728395,0.0,0.818271605,0.459259259,0.36839506200000005,0.571428571,0.0,0.0,0.428571429,3.0759872880000003,0.156162956
645355846,Pvalb Akr1c18 Ntf3,Pvalb-MET-2,0.05711174767999999,0.19479002120000002,0.8241236690000001,10.76665008,0.3382564339,0.3538766029,-1077.594368,-130.5046836,753.2646322,413.605107,17.26109986,26.0,0.3138278371,0.5296121467,485.0,0.0,0.04635119099999999,0.953648809,0.0,0.447666271,0.192519133,0.23823448100000003,13.16878402,0.03882871434,0.2894770918,0.88642966,0.2391934839,0.3471853633,5.0,0.3761518379,0.44008980950000004,24.0,4.0,0.09854851,0.0,0.90145149,0.490450726,0.067226891,0.25,0.0,0.25,0.5,1.823484875,0.8586834179999999
829195312,Vip Crispld2 Htr2c,Vip-MET-5,0.000555529005,0.2876648836,0.8482067670000001,22.41264293,0.2903936171,0.6627102477000001,134.9938043,-111.36088459999999,-370.2251425,17.63033962,-157.8739846,22.0,0.48130118899999996,0.5757449192,273.0,0.010206653000000001,0.43813004,0.551663306,0.031356038860000005,0.440020161,0.7925907259999999,0.76025693,9.88294111,0.007897765059,0.03061618457,0.8615709429999999,0.1440725756,0.2855403656,9.0,0.1723956159,0.2213674707,55.0,3.0,0.0,0.0,1.0,0.36402966600000003,0.619901112,0.333333333,0.0,0.333333333,0.333333333,2.055931459,0.240780729
606271263,Pvalb Vipr2,Pvalb-MET-5,0.05624600999,0.12121266289999999,0.801848332,18.55366852,0.4004228079,0.262186652,1904.4061239999999,-1009.5437720000001,1050.078768,-325.97800970000003,-3.3144552739999997,25.0,0.2802027531,1.076441137,665.0,0.0,0.28991059999999996,0.7100894,0.0,0.48894266299999994,0.744706594,0.570864461,19.32948561,8.9054573e-05,0.1074309808,0.857461865,0.2928947919,0.22794467300000001,5.0,0.2254112214,0.2884054338,35.0,7.0,0.412314458,0.0,0.587685542,0.487080814,0.142385926,0.14285714300000002,0.14285714300000002,0.571428571,0.14285714300000002,2.284998639,0.195019733
