"","sample_id","project","cell_specimen_id","cell_specimen_name","hemisphere","structure","donor_id","donor_name","biological_sex","age","full_genotype","dendrite_type","apical_dendrite_status","neuron_reconstruction_type","cell_soma_normalized_depth","ephys_session_id","transcriptomics_batch","corresponding_AIT2.3.1_ID","corresponding_AIT2.3.1_alias","major_type","contam_type","quality_score","Microglia","cluster_label"
"SM-GE93B_S015_E1-50","SM-GE93B_S015_E1-50","mIVSCC-MET",685656286,"Sst-IRES-Cre;Ai14-385815.03.02.01","right","VISp5",385815,"Sst-IRES-Cre;Ai14-385815","F","P50","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,685656132,"RSC-155","CS180626100031","Sst Mme","GABAergic","Sst_on",0.124954230078575,0.662480066309805,"Sst"
"SM-GE93B_S016_E1-50","SM-GE93B_S016_E1-50","mIVSCC-MET",685682618,"Sst-IRES-Cre;Ai14-385815.03.02.02","right","VISp5",385815,"Sst-IRES-Cre;Ai14-385815","F","P50","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,685682418,"RSC-155","CS180626100057","Pvalb Reln","GABAergic","Pvalb_on",0.43621819777278,0.239171697950864,"Pvalb"
"SM-GE93B_S017_E1-50","SM-GE93B_S017_E1-50","mIVSCC-MET",685707621,"Sst-IRES-Cre;Ai14-385815.03.02.03","right","VISp6a",385815,"Sst-IRES-Cre;Ai14-385815","F","P50","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.865714304557623,685707481,"RSC-155","CS180626100052","Pvalb Th","GABAergic","Sst_on",0.402207250361171,0.225939638489068,"Pvalb"
"SM-GE93B_S019_E1-50","SM-GE93B_S019_E1-50","mIVSCC-MET",685729119,"Sst-IRES-Cre;Ai14-385815.03.02.05","right","VISp6a",385815,"Sst-IRES-Cre;Ai14-385815","F","P50","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,685728836,"RSC-155","CS180626100055","Pvalb Sema3e","GABAergic","Pvalb_on",0.356892661667777,0.439705118426505,"Pvalb"
"SM-GE93B_S020_E1-50","SM-GE93B_S020_E1-50","mIVSCC-MET",685742609,"Sst-IRES-Cre;Ai14-385815.03.02.06","right","VISp5",385815,"Sst-IRES-Cre;Ai14-385815","F","P50","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,685742420,"RSC-155","CS180626100032","Sst Tac1","GABAergic","Sst_on",0.406804535815152,0.122870599868216,"Sst"
"SM-GE93B_S022_E1-50","SM-GE93B_S022_E1-50","mIVSCC-MET",685762875,"Etv1-CreERT2;Pvalb-T2A-FlpO;Ai65-384679.04.02.01","right","VISp5",384679,"Etv1-CreERT2;Pvalb-T2A-FlpO;Ai65-384679","M","P60","Etv1-CreERT2/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,685762860,"RSC-155","CS180626100058","Pvalb Reln","GABAergic","Pvalb_on",0.434716144723603,0.0350098321022798,"Pvalb"
"SM-GE93B_S030_E1-50","SM-GE93B_S030_E1-50","mIVSCC-MET",686075082,"Sst-IRES-Cre;Ai14-385817.04.01.01","left","VISp5",385817,"Sst-IRES-Cre;Ai14-385817","F","P51","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,686074892,"RSC-155","CS180626100032","Sst Tac1","GABAergic","Sst_on",0.343956330156237,0.0241523907799328,"Sst"
"SM-GE93B_S035_E1-50","SM-GE93B_S035_E1-50","mIVSCC-MET",686334539,"Ndnf-IRES2-dgCre;Ai14-384591.03.02.02","right","VISp1",384591,"Ndnf-IRES2-dgCre;Ai14-384591","F","P56","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,686334362,"RSC-155","CS180626100005","Lamp5 Plch2","GABAergic","Lamp5_on",0.25879922667047,0.349286272620039,"Lamp5"
"SM-GE93B_S038_E1-50","SM-GE93B_S038_E1-50","mIVSCC-MET",686334676,"Ndnf-IRES2-dgCre;Ai14-384591.05.02.01","right","VISp1",384591,"Ndnf-IRES2-dgCre;Ai14-384591","F","P56","Ndnf-IRES2-dgCre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,686334616,"RSC-155","CS180626100005","Lamp5 Plch2","GABAergic","Lamp5_on",0.526352915039019,0.0240024569081857,"Lamp5"
"SM-GE93B_S040_E1-50","SM-GE93B_S040_E1-50","mIVSCC-MET",686086186,"Sst-IRES-Cre;Ai14-385817.04.02.02","right","VISp2/3",385817,"Sst-IRES-Cre;Ai14-385817","F","P51","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,686085846,"RSC-155","CS180626100033","Sst Tac1","GABAergic","Sst_on",0.443318033458678,0.0198973006100421,"Sst"
"SM-GE93B_S066_E1-50","SM-GE93B_S066_E1-50","mIVSCC-MET",687104367,"Nkx2-1-CreERT2;Ai14(TAM at e17)-384990.05.02.01","right","VISp5",384990,"Nkx2-1-CreERT2;Ai14(TAM at e17)-384990","F","P55","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,687104265,"RSC-155","CS180626100007","Lamp5 Lhx6","GABAergic","Lamp5_on",0.311722913778408,0.114356585979497,"Lamp5"
"SM-GE93B_S067_E1-50","SM-GE93B_S067_E1-50","mIVSCC-MET",688058099,"Sst-IRES-Cre;Ai14-386474.03.02.01","right","VISpm5",386474,"Sst-IRES-Cre;Ai14-386474","M","P50","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,688057710,"RSC-155","CS180626100037","Sst Myh8","GABAergic","Sst_on",0.394532787936799,0.0376111115490237,"Sst"
"SM-GE93B_S069_E1-50","SM-GE93B_S069_E1-50","mIVSCC-MET",688133055,"Sst-IRES-Cre;Ai14-386474.03.02.03","right","VISp5",386474,"Sst-IRES-Cre;Ai14-386474","M","P50","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,688133040,"RSC-155","CS180626100047","Sst Tac2","GABAergic","Sst_on",0.40115326444119,0.116887706224739,"Sst"
"SM-GE93B_S070_E1-50","SM-GE93B_S070_E1-50","mIVSCC-MET",688152462,"Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-385740.03.02.01","right","VISpm1",385740,"Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-385740","M","P54","Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,688152447,"RSC-155","CS180626100005","Lamp5 Plch2","GABAergic","Lamp5_on",0.227828027915376,0.668616834722664,"Lamp5"
"SM-GE93B_S071_E1-50","SM-GE93B_S071_E1-50","mIVSCC-MET",688175350,"Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-385740.03.02.02","right","VISp1",385740,"Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-385740","M","P54","Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,688175237,"RSC-155","CS180626100004","Lamp5 Ntn1","GABAergic","Lamp5_on",0.155188449603456,0.562647183412263,"Lamp5"
"SM-GE93B_S072_E1-50","SM-GE93B_S072_E1-50","mIVSCC-MET",687907602,"Sst-IRES-Cre;Ai14-386474.04.02.01","right","VISp5",386474,"Sst-IRES-Cre;Ai14-386474","M","P50","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.701016015298421,687907372,"RSC-155","CS180626100039","Sst Chrna2","GABAergic","Sst_on",0.248428385108214,0.321074057631746,"Sst"
"SM-GE93B_S073_E1-50","SM-GE93B_S073_E1-50","mIVSCC-MET",687935998,"Sst-IRES-Cre;Ai14-386474.04.02.02","right","VISp6a",386474,"Sst-IRES-Cre;Ai14-386474","M","P50","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,687935847,"RSC-155","CS180626100046","Sst Esm1","GABAergic","Sst_on",0.272282638505576,0.348583252605292,"Sst"
"SM-GE93B_S075_E1-50","SM-GE93B_S075_E1-50","mIVSCC-MET",688115867,"Th-P2A-FlpO;Ai65F-385997.04.01.01","left","VISp6b",385997,"Th-P2A-FlpO;Ai65F-385997","F","P53","Th-P2A-FlpO/wt;Ai65F/wt","aspiny",NA,"full",0.954914276906945,688115799,"RSC-155","CS180626100049","Sst Rxfp1","GABAergic","Sst_on",0.244935945426634,0.479809433107683,"Sst"
"SM-GE93B_S076_E1-50","SM-GE93B_S076_E1-50","mIVSCC-MET",688130343,"Th-P2A-FlpO;Ai65F-385997.04.01.02","left","VISp5",385997,"Th-P2A-FlpO;Ai65F-385997","F","P53","Th-P2A-FlpO/wt;Ai65F/wt","aspiny",NA,"",NA,688130325,"RSC-155","CS180626100051","Pvalb Gabrg1","GABAergic","Sst_on",0.464107129319435,0.0109393840373869,"Pvalb"
"SM-GE93B_S077_E1-50","SM-GE93B_S077_E1-50","mIVSCC-MET",688145929,"Th-P2A-FlpO;Ai65F-385997.05.01.01","left","VISpm6a",385997,"Th-P2A-FlpO;Ai65F-385997","F","P53","Th-P2A-FlpO/wt;Ai65F/wt","aspiny",NA,"full",0.91807283243271,688145914,"RSC-155","CS180626100052","Pvalb Th","GABAergic","Sst_on",0.502212917824116,0.0264174283156991,"Pvalb"
"SM-GE93B_S078_E1-50","SM-GE93B_S078_E1-50","mIVSCC-MET",688151821,"Th-P2A-FlpO;Ai65F-385997.05.01.02","left","VISam6a",385997,"Th-P2A-FlpO;Ai65F-385997","F","P53","Th-P2A-FlpO/wt;Ai65F/wt","aspiny",NA,"",NA,688151806,"RSC-155","CS180626100052","Pvalb Th","GABAergic","Pvalb_on",0.276253074224985,0.654490162198361,"Pvalb"
"SM-GE93B_S079_E1-50","SM-GE93B_S079_E1-50","mIVSCC-MET",688152504,"Th-P2A-FlpO;Ai65F-385997.05.01.03","left","VISam6a",385997,"Th-P2A-FlpO;Ai65F-385997","F","P53","Th-P2A-FlpO/wt;Ai65F/wt","aspiny",NA,"",NA,688152489,"RSC-155","CS180626100050","Sst Nts","GABAergic","Sst_on",0.394595077352923,0.119636528105762,"Sst"
"SM-GE93B_S084_E1-50","SM-GE93B_S084_E1-50","mIVSCC-MET",688133015,"Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-385740.03.01.01","left","VISp2/3",385740,"Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-385740","M","P54","Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,688133000,"RSC-155","CS180626100006","Lamp5 Lsp1","GABAergic","Lamp5_on",0.388743715099123,0.107661926662832,"Lamp5"
"SM-GE93B_S088_E1-50","SM-GE93B_S088_E1-50","mIVSCC-MET",688086402,"Sst-IRES-Cre;Ai14-386474.05.01.01","left","VISp5",386474,"Sst-IRES-Cre;Ai14-386474","M","P50","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,688086222,"RSC-155","CS180626100037","Sst Myh8","GABAergic","Sst_on",0.542830269562192,0.0293517124914231,"Sst"
"SM-GE93B_S090_E1-50","SM-GE93B_S090_E1-50","mIVSCC-MET",688382422,"Pvalb-IRES-Cre;Ai14-384390.03.01.01","left","VISpor5",384390,"Pvalb-IRES-Cre;Ai14-384390","M","P62","Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,688382353,"RSC-155","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.382395895897086,0.163685030759067,"Pvalb"
"SM-GE93B_S094_E1-50","SM-GE93B_S094_E1-50","mIVSCC-MET",688926074,"Sst-IRES-Cre;Ai14-386476.03.01.01","left","VISp6a",386476,"Sst-IRES-Cre;Ai14-386476","F","P51","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,688925621,"RSC-155","CS180626100049","Sst Rxfp1","GABAergic","Sst_on",0.46482033688671,0.0348825580511813,"Sst"
