"","sample_id","project","cell_specimen_id","cell_specimen_name","hemisphere","structure","donor_id","donor_name","biological_sex","age","full_genotype","dendrite_type","apical_dendrite_status","neuron_reconstruction_type","cell_soma_normalized_depth","ephys_session_id","transcriptomics_batch","corresponding_AIT2.3.1_ID","corresponding_AIT2.3.1_alias","major_type","contam_type","quality_score","Microglia","cluster_label"
"PS0810_E1-50_S88","PS0810_E1-50_S88","mIVSCC-MET",601506507,"Vip-IRES-Cre;Ai14-331294.04.01.01","left","VISpm4",331294,"Vip-IRES-Cre;Ai14-331294","M","P55","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","sparsely spiny",NA,"full",0.361014513523001,601506492,"BT035","CS180626100018","Vip Gpc3","GABAergic","Vip_on",0.398964010177593,0.0122673821477334,"Vip"
"PS0817_E1-50_S19","PS0817_E1-50_S19","mIVSCC-MET",601790961,"Sst-IRES-Cre;Ai14-331663.04.01.01","left","VISpm5",331663,"Sst-IRES-Cre;Ai14-331663","F","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.621829351967728,601790945,"BT036","CS180626100041","Sst Tac2","GABAergic","Sst_on",0.205851120033596,0.166599246055651,"Sst"
"PS0817_E1-50_S25","PS0817_E1-50_S25","mIVSCC-MET",601803754,"Sst-IRES-Cre;Ai14-331663.04.02.02","right","VISp2/3",331663,"Sst-IRES-Cre;Ai14-331663","F","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","sparsely spiny",NA,"full",0.164239963248684,601803733,"BT036","CS180626100035","Sst Calb2","GABAergic","Sst_on",0.157360165430053,0.564634081199724,"Sst"
"PS0817_E1-50_S26","PS0817_E1-50_S26","mIVSCC-MET",601808698,"Sst-IRES-Cre;Ai14-331663.04.02.03","right","VISp5",331663,"Sst-IRES-Cre;Ai14-331663","F","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.483030289156805,601808619,"BT036","CS180626100043","Sst Hpse","GABAergic","Sst_on",0.142024926348268,0.835032956524888,"Sst"
"PS0817_E1-50_S27","PS0817_E1-50_S27","mIVSCC-MET",601810307,"Sst-IRES-Cre;Ai14-331663.04.02.04","right","VISp2/3",331663,"Sst-IRES-Cre;Ai14-331663","F","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.295656295036952,601810292,"BT036","CS180626100034","Sst Calb2","GABAergic","Sst_on",0.378525344067701,0.0144936835522822,"Sst"
"PS0817_E1-50_S28","PS0817_E1-50_S28","mIVSCC-MET",601811091,"Sst-IRES-Cre;Ai14-331663.03.01.01","left","VISp6a",331663,"Sst-IRES-Cre;Ai14-331663","F","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.766594576134962,601811076,"BT036","CS180626100046","Sst Esm1","GABAergic","Sst_on",0.422364639335219,0.0275623180531616,"Sst"
"PS0817_E1-50_S46","PS0817_E1-50_S46","mIVSCC-MET",602231708,"Sst-IRES-Cre;Ai14-331660.06.02.01","right","VISp5",331660,"Sst-IRES-Cre;Ai14-331660","M","P59","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.589005050716384,602231628,"BT036","CS180626100035","Sst Calb2","GABAergic","Sst_on",0.390526770047973,0.00276268023258275,"Sst"
"PS0817_E1-50_S52","PS0817_E1-50_S52","mIVSCC-MET",602535278,"Sst-IRES-Cre;Ai14-331657.04.02.01","right","VISp2/3",331657,"Sst-IRES-Cre;Ai14-331657","M","P60","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.397545508012723,602535253,"BT036","CS180626100035","Sst Calb2","GABAergic","Sst_on",0.397502939535879,0.0199844231166442,"Sst"
"PS0830_E1-50_S17","PS0830_E1-50_S17","mIVSCC-MET",604626221,"Vip-IRES-Cre;Ai14-336703.04.02.01","right","VISp4",336703,"Vip-IRES-Cre;Ai14-336703","M","P51","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.459114590371144,604626206,"BT038","CS180626100018","Vip Gpc3","GABAergic","Vip_on",0.357974651719314,0.010517491440494,"Vip"
"PS0830_E1-50_S19","PS0830_E1-50_S19","mIVSCC-MET",604646725,"Vip-IRES-Cre;Ai14-336703.04.02.03","right","VISp2/3",336703,"Vip-IRES-Cre;Ai14-336703","M","P51","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.304442899765556,604646572,"BT038","CS180626100026","Vip Pygm","GABAergic","Vip_on",0.377757337033314,0.0599624695962714,"Vip"
"PS0830_E1-50_S24","PS0830_E1-50_S24","mIVSCC-MET",605060256,"Vip-IRES-Cre;Ai14-336139.04.01.04","left","VISal4",336139,"Vip-IRES-Cre;Ai14-336139","M","P54","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.416261742802756,605059999,"BT038","CS180626100020","Vip Lmo1","GABAergic","Vip_on",0.267834206818179,0.315985767284018,"Vip"
"PS0830_E1-50_S26","PS0830_E1-50_S26","mIVSCC-MET",605160536,"Vip-IRES-Cre;Ai14-336139.05.02.02","right","VISp2/3",336139,"Vip-IRES-Cre;Ai14-336139","M","P54","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.22214742213529,605160446,"BT038","CS180626100028","Vip Crispld2","GABAergic","Vip_on",0.398042689791342,0.0886205972322352,"Vip"
"PS0830_E1-50_S70","PS0830_E1-50_S70","mIVSCC-MET",606098116,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417.04.02.02","right","VISp2/3",337417,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417","M","P55","Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"full",0.281891345108085,606098055,"BT038","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.410191921317046,0.159994892709863,"Pvalb"
"PS0830_E1-50_S83","PS0830_E1-50_S83","mIVSCC-MET",606271263,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416.05.01.01","left","VISp2/3",337416,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416","M","P56","Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"full",0.179449890059475,606271245,"BT038","CS180626100060","Pvalb Vipr2","GABAergic","Pvalb_on",0.365784888286176,0.302317066554247,"Pvalb"
"PS0830_E1-50_S85","PS0830_E1-50_S85","mIVSCC-MET",606308411,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416.05.01.03","left","VISam2/3",337416,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416","M","P56","Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"full",0.171680016575818,606308251,"BT038","CS180626100060","Pvalb Vipr2","GABAergic","Pvalb_on",0.226057318374448,0.405996799816988,"Pvalb"
"PS0921_E1-50_S06","PS0921_E1-50_S06","mIVSCC-MET",611497391,"Vip-IRES-Cre;Ai14-342915.04.02.01","right","VISp2/3",342915,"Vip-IRES-Cre;Ai14-342915","M","P47","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.225690512105545,611497338,"BT040","CS180626100022","Vip Rspo4","GABAergic","Vip_on",0.351171429349337,0.00751482052873093,"Vip"
"PS0921_E1-50_S12","PS0921_E1-50_S12","mIVSCC-MET",612271508,"Chat-IRES-Cre-neo;Ai14-341889.05.02.02","right","VISp2/3",341889,"Chat-IRES-Cre-neo;Ai14-341889","F","P54","Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.255892218078165,612271479,"BT040","CS180626100022","Vip Rspo4","GABAergic","Vip_on",0.152038326066881,0.851162933027485,"Vip"
"PS0921_E1-50_S26","PS0921_E1-50_S26","mIVSCC-MET",612893105,"Chat-IRES-Cre-neo;Ai14-341890.04.02.02","right","VISp2/3",341890,"Chat-IRES-Cre-neo;Ai14-341890","F","P55","Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.143796377209451,612893090,"BT040","CS180626100022","Vip Rspo4","GABAergic","Vip_on",0.316991826865647,0.5155239048192,"Vip"
"PS0921_E1-50_S33","PS0921_E1-50_S33","mIVSCC-MET",613432876,"Chat-IRES-Cre-neo;Ai14-341891.04.02.01","right","VISp2/3",341891,"Chat-IRES-Cre-neo;Ai14-341891","F","P56","Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.171291174746034,613432846,"BT040","CS180626100022","Vip Rspo4","GABAergic","Vip_on",0.405132741679921,0.0126859727123793,"Vip"
"PS0921_E1-50_S34","PS0921_E1-50_S34","mIVSCC-MET",614728680,"Pvalb-IRES-Cre;Ai14-344090.04.01.01","left","VISp5",344090,"Pvalb-IRES-Cre;Ai14-344090","F","P51","Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.604392273663461,614728579,"BT040","CS180626100058","Pvalb Reln","GABAergic","Pvalb_on",0.415580101383413,0.00787010166394814,"Pvalb"
"SM-GBMFY_S079_E1-50","SM-GBMFY_S079_E1-50","mIVSCC-MET",882454517,"Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-467263-Ai65.04.02.02","right","VISp1",467263,"Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-467263-Ai65","F","P55","Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt","spiny","notchecked","",NA,882454410,"RSC-215",""," NA","Glutamatergic","L2.3.IT_on",0.521875440772415,0.12528760996177,NA
"SM-GBMG3_S011_E1-50","SM-GBMG3_S011_E1-50","mIVSCC-MET",871825900,"Nkx2-1-CreERT2;Ai14-465341.04.01.01","left","VISpm2/3",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,871825551,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.382339941245858,0.00768604131954665,"Pvalb"
"SM-GBMG3_S012_E1-50","SM-GBMG3_S012_E1-50","mIVSCC-MET",872555611,"Nkx2-1-CreERT2;Ai14-465341.04.01.03","left","VISp2/3",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,872555585,"RSC-214","CS180626100060","Pvalb Vipr2","GABAergic","Pvalb_on",0.377081175288221,0.246362734015558,"Pvalb"
"SM-GBMG3_S013_E1-50","SM-GBMG3_S013_E1-50","mIVSCC-MET",871888742,"Nkx2-1-CreERT2;Ai14-465341.05.02.01","right","VISp2/3",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,871888161,"RSC-214","CS180626100033","Sst Tac1","GABAergic","Pvalb_on",0.49330932982065,0.068159945790946,"Sst"
"SM-GBMG3_S014_E1-50","SM-GBMG3_S014_E1-50","mIVSCC-MET",871988245,"Nkx2-1-CreERT2;Ai14-465341.05.02.03","right","VISpm4",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,871987881,"RSC-214","CS180626100033","Sst Tac1","GABAergic","Sst_on",0.323987216247582,0.528280531682467,"Sst"
"SM-GBMG3_S015_E1-50","SM-GBMG3_S015_E1-50","mIVSCC-MET",872248529,"Nkx2-1-CreERT2;Ai14-465341.02.02.01","right","VISli2/3",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.189368626997173,872248312,"RSC-214","CS180626100032","Sst Tac1","GABAergic","Sst_on",0.337052048960266,0.325405992961115,"Sst"
"SM-GBMG3_S016_E1-50","SM-GBMG3_S016_E1-50","mIVSCC-MET",871782504,"Nkx2-1-CreERT2;Ai14-465341.04.02.01","right","VISpm5",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.543904616788912,871782372,"RSC-214","CS180626100057","Pvalb Reln","GABAergic","Pvalb_on",0.331781198846633,0.337111686417975,"Pvalb"
"SM-GBMG3_S017_E1-50","SM-GBMG3_S017_E1-50","mIVSCC-MET",871867923,"Nkx2-1-CreERT2;Ai14-465341.04.02.02","right","VISp2/3",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,871867677,"RSC-214","CS180626100058","Pvalb Reln","GABAergic","Pvalb_on",0.477454961271198,0.0268263662403959,"Pvalb"
"SM-GBMG3_S018_E1-50","SM-GBMG3_S018_E1-50","mIVSCC-MET",872026690,"Pvalb-IRES-Cre;Ai14-463471.04.02.01","right","VISp6a",463471,"Pvalb-IRES-Cre;Ai14-463471","M","P55","Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.83303291239128,872026473,"RSC-214","CS180626100053","Pvalb Akr1c18","GABAergic","Pvalb_on",0.507638656172526,0.0230783082869299,"Pvalb"
"SM-GBMG3_S019_E1-50","SM-GBMG3_S019_E1-50","mIVSCC-MET",872054508,"Pvalb-IRES-Cre;Ai14-463471.04.02.02","right","VISp4",463471,"Pvalb-IRES-Cre;Ai14-463471","M","P55","Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,872054223,"RSC-214","CS180626100058","Pvalb Reln","GABAergic","Pvalb_on",0.329320955660015,0.220169994703971,"Pvalb"
"SM-GBMG3_S020_E1-50","SM-GBMG3_S020_E1-50","mIVSCC-MET",872162438,"Nos1-CreERT2;Sst-IRES-FlpO;Ai65-463219.05.02.01","right","VISp6a",463219,"Nos1-CreERT2;Sst-IRES-FlpO;Ai65-463219","M","P56","Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,872162179,"RSC-214","CS180626100030","Sst Chodl","GABAergic","Sst_on",0.128914298612409,0.765869844571541,"Sst"
"SM-GBMG3_S021_E1-50","SM-GBMG3_S021_E1-50","mIVSCC-MET",872210735,"Nos1-CreERT2;Sst-IRES-FlpO;Ai65-463219.05.02.02","right","VISp5",463219,"Nos1-CreERT2;Sst-IRES-FlpO;Ai65-463219","M","P56","Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,872210290,"RSC-214","CS180626100030","Sst Chodl","GABAergic","Sst_on",0.254776283414996,0.202641228518027,"Sst"
"SM-GBMG3_S024_E1-50","SM-GBMG3_S024_E1-50","mIVSCC-MET",872211286,"Pvalb-IRES-Cre;Th-P2A-FlpO;Ai65-463588.05.01.02","left","VISp5",463588,"Pvalb-IRES-Cre;Th-P2A-FlpO;Ai65-463588","M","P54","Pvalb-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,872210887,"RSC-214","CS180626100051","Pvalb Gabrg1","GABAergic","Pvalb_on",0.4241818054324,0.0966919812811894,"Pvalb"
"SM-GBMG3_S028_E1-50","SM-GBMG3_S028_E1-50","mIVSCC-MET",873587758,"Nkx2-1-CreERT2;Ai14-465343.03.02.01","right","VISp2/3",465343,"Nkx2-1-CreERT2;Ai14-465343","F","P48","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,873587324,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.451815203661012,0.0622725288506984,"Pvalb"
"SM-GBMG3_S029_E1-50","SM-GBMG3_S029_E1-50","mIVSCC-MET",873615757,"Nkx2-1-CreERT2;Ai14-465343.03.02.02","right","VISp2/3",465343,"Nkx2-1-CreERT2;Ai14-465343","F","P48","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,873615079,"RSC-214","CS180626100001","Lamp5 Krt73","Glutamatergic","L2.3.IT_on",0.294922928324682,0,"Lamp5"
"SM-GBMG3_S031_E1-50","SM-GBMG3_S031_E1-50","mIVSCC-MET",873689501,"Sst-IRES-Cre;Ai14-463402.04.02.01","right","VISp5",463402,"Sst-IRES-Cre;Ai14-463402","M","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,873689134,"RSC-214","CS180626100044","Sst Crhr2","GABAergic","Sst_on",0.391830462500239,0.240751396208382,"Sst"
"SM-GBMG3_S032_E1-50","SM-GBMG3_S032_E1-50","mIVSCC-MET",873712332,"Sst-IRES-Cre;Ai14-463402.04.02.02","right","VISp6a",463402,"Sst-IRES-Cre;Ai14-463402","M","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,873712120,"RSC-214","CS180626100049","Sst Rxfp1","GABAergic","Sst_on",0.403789062052219,0.258335175498493,"Sst"
"SM-GBMG3_S033_E1-50","SM-GBMG3_S033_E1-50","mIVSCC-MET",873790114,"Pvalb-IRES-Cre;Th-P2A-FlpO;Ai65-463593.05.01.01","left","VISp6a",463593,"Pvalb-IRES-Cre;Th-P2A-FlpO;Ai65-463593","F","P56","Pvalb-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,873789895,"RSC-214","CS180626100053","Pvalb Akr1c18","GABAergic","Pvalb_on",0.263927220456775,0.627853221686135,"Pvalb"
"SM-GBMG3_S035_E1-50","SM-GBMG3_S035_E1-50","mIVSCC-MET",873848729,"Nos1-CreERT2;Sst-IRES-FlpO;Ai65-463221.04.02.01","right","VISli6a",463221,"Nos1-CreERT2;Sst-IRES-FlpO;Ai65-463221","M","P58","Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,873848501,"RSC-214","CS180626100030","Sst Chodl","GABAergic","Sst_on",0.388986916668199,0.236240626143188,"Sst"
"SM-GBMG3_S036_E1-50","SM-GBMG3_S036_E1-50","mIVSCC-MET",873910521,"Nos1-CreERT2;Sst-IRES-FlpO;Ai65-463221.04.01.01","left","VISp6a",463221,"Nos1-CreERT2;Sst-IRES-FlpO;Ai65-463221","M","P58","Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,873910346,"RSC-214","CS180626100030","Sst Chodl","GABAergic","Sst_on",0.0728314202982353,0.93954678380028,"Sst"
"SM-GBMG3_S037_E1-50","SM-GBMG3_S037_E1-50","mIVSCC-MET",873726936,"Nkx2-1-CreERT2;Ai14-465343.05.01.01","left","VISpor2/3",465343,"Nkx2-1-CreERT2;Ai14-465343","F","P48","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,873726656,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.252927288888635,0.527359287777837,"Pvalb"
"SM-GBMG3_S039_E1-50","SM-GBMG3_S039_E1-50","mIVSCC-MET",873854264,"Nos1-CreERT2;Sst-IRES-FlpO;Ai65-463221.03.01.01","left","VISp1",463221,"Nos1-CreERT2;Sst-IRES-FlpO;Ai65-463221","M","P58","Nos1-CreERT2/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"full",0.109571697320272,873853899,"RSC-214","CS180626100030","Sst Chodl","GABAergic","Sst_on",0.443606449689594,0.0148304326117886,"Sst"
"SM-GBMG3_S044_E1-50","SM-GBMG3_S044_E1-50","mIVSCC-MET",874325086,"Nkx2-1-CreERT2;Ai14-465344.04.01.01","left","VISp2/3",465344,"Nkx2-1-CreERT2;Ai14-465344","F","P49","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,874324589,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.498915924223496,0.0631370191764885,"Pvalb"
"SM-GBMG3_S045_E1-50","SM-GBMG3_S045_E1-50","mIVSCC-MET",874417550,"Nkx2-1-CreERT2;Ai14-465344.05.01.01","left","VISp2/3",465344,"Nkx2-1-CreERT2;Ai14-465344","F","P49","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,874417118,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.478475539424445,0.00872287664296633,"Pvalb"
"SM-GBMG3_S046_E1-50","SM-GBMG3_S046_E1-50","mIVSCC-MET",874534026,"Nkx2-1-CreERT2;Ai14-465344.05.01.03","left","VISl2/3",465344,"Nkx2-1-CreERT2;Ai14-465344","F","P49","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,874533807,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.396480683497637,0.0191517670395022,"Pvalb"
"SM-GBMG3_S047_E1-50","SM-GBMG3_S047_E1-50","mIVSCC-MET",874445433,"Nkx2-1-CreERT2;Ai14-465344.05.02.01","right","VISp2/3",465344,"Nkx2-1-CreERT2;Ai14-465344","F","P49","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,874445234,"RSC-214","CS180626100059","Pvalb Tpbg","Glutamatergic","L2.3.IT_on",0.410616729453574,0.135388446715631,"Pvalb"
"SM-GBMG3_S048_E1-50","SM-GBMG3_S048_E1-50","mIVSCC-MET",874892226,"Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-463831.04.02.01","right","VISp2/3",463831,"Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-463831","M","P56","Htr3a-Cre_NO152/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,874891912,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.389817968558016,0.0154581782214837,"Pvalb"
"SM-GBMG3_S049_E1-50","SM-GBMG3_S049_E1-50","mIVSCC-MET",874321805,"Nkx2-1-CreERT2;Ai14-465344.04.02.01","right","VISp2/3",465344,"Nkx2-1-CreERT2;Ai14-465344","F","P49","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,874321329,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.472675974358234,0.0336626066651728,"Pvalb"
"SM-GBMG3_S050_E1-50","SM-GBMG3_S050_E1-50","mIVSCC-MET",874375335,"Nkx2-1-CreERT2;Ai14-465344.04.02.02","right","VISp2/3",465344,"Nkx2-1-CreERT2;Ai14-465344","F","P49","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,874375021,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.356185542289184,0.143500210165968,"Pvalb"
"SM-GBMG3_S056_E1-50","SM-GBMG3_S056_E1-50","mIVSCC-MET",874471721,"Nkx2-1-CreERT2;Ai14-465344.03.01.01","left","VISp6b",465344,"Nkx2-1-CreERT2;Ai14-465344","F","P49","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,874471588,"RSC-214","CS180626100007","Lamp5 Lhx6","GABAergic","Lamp5_on",0.425834382692425,0.161927654513931,"Lamp5"
"SM-GBMG3_S057_E1-50","SM-GBMG3_S057_E1-50","mIVSCC-MET",874851711,"Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-463831.03.01.01","left","VISp2/3",463831,"Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-463831","M","P56","Htr3a-Cre_NO152/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,874851518,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.407209652738223,0.0397728352705498,"Pvalb"
"SM-GBMG3_S058_E1-50","SM-GBMG3_S058_E1-50","mIVSCC-MET",875020601,"Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-463831.06.02.01","right","VISp6a",463831,"Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-463831","M","P56","Htr3a-Cre_NO152/wt;Pvalb-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,875020359,"RSC-214","CS180626100055","Pvalb Sema3e","GABAergic","Pvalb_on",0.513747993489985,0.0339564687973414,"Pvalb"
"SM-GBMG3_S062_E1-50","SM-GBMG3_S062_E1-50","mIVSCC-MET",875328808,"Nkx2-1-CreERT2;Ai14-465348.05.01.01","left","VISpm2/3",465348,"Nkx2-1-CreERT2;Ai14-465348","F","P50","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,875328492,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.445701598850411,0.0649615664959266,"Pvalb"
"SM-GBMG3_S063_E1-50","SM-GBMG3_S063_E1-50","mIVSCC-MET",875373471,"Nkx2-1-CreERT2;Ai14-465348.05.01.02","left","VISp2/3",465348,"Nkx2-1-CreERT2;Ai14-465348","F","P50","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,875373168,"RSC-214","CS180626100007","Lamp5 Lhx6","GABAergic","Pvalb_on",0.452639454413256,0.00570428961648796,"Lamp5"
"SM-GBMG3_S065_E1-50","SM-GBMG3_S065_E1-50","mIVSCC-MET",875116973,"Nkx2-1-CreERT2;Ai14-465348.04.02.01","right","VISp4",465348,"Nkx2-1-CreERT2;Ai14-465348","F","P50","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,875116812,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.448219651981416,0.0868950758694736,"Pvalb"
"SM-GE4Q2_S125_E1-50","SM-GE4Q2_S125_E1-50","mIVSCC-MET",934799128,"Oxtr-T2A-Cre;Ai14-484066.03.01.01","left","VISp2/3",484066,"Oxtr-T2A-Cre;Ai14-484066","M","P55","Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,934798929,"RSC-226","CS180626100005","Lamp5 Plch2","GABAergic","Lamp5_on",0.493655307734163,0.0122125926773646,"Lamp5"
"SM-GE4Q2_S128_E1-50","SM-GE4Q2_S128_E1-50","mIVSCC-MET",934763366,"Oxtr-T2A-Cre;Ai14-484066.04.02.02","right","VISp6a",484066,"Oxtr-T2A-Cre;Ai14-484066","M","P55","Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,934763199,"RSC-226","CS180626100031","Sst Mme","GABAergic","Sst_on",0.221327939673827,0.387107745069074,"Sst"
"SM-GE4Q2_S130_E1-50","SM-GE4Q2_S130_E1-50","mIVSCC-MET",935032340,"Sncg-IRES2-FlpO-neo;Ai65F-484137.04.02.01","right","VISp5",484137,"Sncg-IRES2-FlpO-neo;Ai65F-484137","M","P54","Sncg-IRES2-FlpO-neo/wt;Ai65F/wt","aspiny",NA,"full",0.653513979121765,935032152,"RSC-226","CS180626100010","Sncg Gpr50","GABAergic","Sncg_on",0.363097833105843,0.216637807672286,"Sncg"
